/*********************************************
 * OPL 12.8.0.0 Data
 * Author: Xiyuan
 * Creation Date: Sep 23, 2019 at 1:09:06 PM
 *********************************************/

nbmonths = 4;
fc=100;
h=1;
p=10;

//instance classic
meandemand = [20,40,60,40];

//int[] LCY1 = {11,17,26,38,53,71,92,115,138,159,175,186,190,186,175,159,138,115,92,71,53,38,26,17,11};
//int[] LCY2 = {23,32,42,55,70,86,103,120,136,150,161,168,170,168,161,150,136,120,103,86,70,55,42,32,23};
//int[] SIN1 = {130,150,127,76,27,10,36,88,136,149,121,68,22,11,42,96,140,148,114,60,18,14,50,104,144};
//int[] SIN2 = {122,130,120,98,77,70,81,103,124,130,118,95,75,71,84,107,126,129,115,91,73,72,87,110,127};
//int[] STA = {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100};
//int[] RAND = {178,178,136,211,119,165,47,100,62,31,43,199,172,96,69,8,29,135,97,70,248,57,11,94,13};
//int[] EMP1 = {2,51,152,467,268,489,446,248,281,363,155,293,220,93,107,234,124,184,223,101,123,99,31,82,0};
//int[] EMP2 = {47,81,236,394,164,287,508,391,754,694,261,195,320,111,191,160,55,84,58,0,0,0,0,0,0};
//int[] EMP3 = {44,116,264,144,146,198,74,183,204,114,165,318,119,482,534,136,260,299,76,218,323,102,174,284,0};
//int[] EMP4 = {49,188,64,279,453,224,223,517,291,547,646,224,215,440,116,185,211,26,55,0,0,0,0,0,0};

minInventory = -500;
maxInventory = 500;
//initialStock=0;


nbpartitions = 4;
prob = [0.187555,0.312445,0.312445,0.187555];
means = [-1.43535,-0.415223,0.415223,1.43535];
error = 0.0339052;

//nbpartitions = 10;
//prob = [0.04206108420763477, 0.0836356495308449, 0.11074334596058821, 0.1276821455299152, 0.13587777477101692, 0.13587777477101692, 0.1276821455299152, 0.11074334596058821, 0.0836356495308449, 0.04206108420763477];
//means = [-2.133986195498256, -1.3976822972668839, -0.918199946431143, -0.5265753462727588, -0.17199013069262026, 0.17199013069262026, 0.5265753462727588, 0.918199946431143, 1.3976822972668839, 2.133986195498256];
//error = 0.005885974956458359;
